trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
12905813, 7:38:04, 7:38:04,1279,11,,0,0,3.8103
12905813, 7:39:59, 7:39:59,56,12,,0,0,4.3659
12905813, 7:40:49, 7:40:49,12619,13,,0,0,4.61
12905813, 7:41:22, 7:41:22,58,14,,0,0,4.771
12905813, 7:42:22, 7:42:22,60,15,,0,0,5.0638
12905813, 7:42:59, 7:42:59,61,16,,0,0,5.2448
12905813, 7:43:58, 7:43:58,63,17,,0,0,5.534
12905813, 7:44:35, 7:44:35,64,18,,0,0,5.7171
12905813, 7:46:11, 7:46:11,12040,19,,0,0,6.1851
12905813, 7:26:08, 7:26:08,378,2,,0,0,0.33
12905813, 7:47:21, 7:47:21,10542,20,,0,0,6.5242
12905813, 7:48:33, 7:48:33,69,21,,0,0,6.8763
12905813, 7:49:08, 7:49:08,70,22,,0,0,7.0484
12905813, 7:50:22, 7:50:22,72,23,,0,0,7.4065
12905813, 7:54:46, 7:54:46,73,24,,0,0,8.6831
12905813, 7:55:40, 7:55:40,75,25,,0,0,8.9441
12905813, 7:56:40, 7:56:40,11881,26,,0,0,9.2361
12905813, 7:57:31, 7:57:31,12603,27,,0,0,9.4858
12905813, 7:58:11, 7:58:11,30,28,,0,0,9.6796
12905813, 7:59:00, 7:59:00,31,29,,0,0,9.8494
12905813, 7:26:59, 7:26:59,379,3,,0,0,0.578
12905813, 8:02:00, 8:02:00,9069,30,,1,0,10.8227
12905813, 7:28:12, 7:28:12,12663,4,,0,0,0.9331
12905813, 7:30:13, 7:30:13,1269,5,,0,0,1.5221
12905813, 7:31:36, 7:31:36,1271,6,,0,0,1.9271
12905813, 7:33:05, 7:33:05,1273,7,,0,0,2.3591
12905813, 7:34:43, 7:34:43,1275,8,,0,0,2.8334
12905813, 7:36:21, 7:36:21,1276,9,,0,0,3.3083
12905815, 7:12:00, 7:12:00,55,1,,0,0,
12905815, 7:21:17, 7:21:17,10542,10,,0,0,2.4674
12905815, 7:22:37, 7:22:37,69,11,,0,0,2.8195
12905815, 7:23:16, 7:23:16,70,12,,0,0,2.9916
12905815, 7:24:37, 7:24:37,72,13,,0,0,3.3497
12905815, 7:29:27, 7:29:27,73,14,,0,0,4.6264
12905815, 7:30:26, 7:30:26,75,15,,0,0,4.8874
12905815, 7:31:32, 7:31:32,11881,16,,0,0,5.1794
12905815, 7:32:28, 7:32:28,12603,17,,0,0,5.4291
12905815, 7:33:12, 7:33:12,30,18,,0,0,5.6229
12905815, 7:34:00, 7:34:00,31,19,,0,0,5.7926
12905815, 7:13:10, 7:13:10,56,2,,0,0,0.3092
12905815, 7:37:00, 7:37:00,9069,20,,1,0,6.7659
12905815, 7:14:05, 7:14:05,12619,3,,0,0,0.5532
12905815, 7:14:41, 7:14:41,58,4,,0,0,0.7143
12905815, 7:15:47, 7:15:47,60,5,,0,0,1.0071
12905815, 7:16:28, 7:16:28,61,6,,0,0,1.1881
12905815, 7:17:33, 7:17:33,63,7,,0,0,1.4773
12905815, 7:18:14, 7:18:14,64,8,,0,0,1.6603
12905815, 7:20:00, 7:20:00,12040,9,,0,0,2.1283
12905816,15:51:00,15:51:00,646,1,,0,0,
12905816,16:04:05,16:04:05,1277,10,,0,0,3.4113
12905816,16:05:37,16:05:37,1279,11,,0,0,3.8103
12905816,16:07:45,16:07:45,56,12,,0,0,4.3659
12905816,16:08:41,16:08:41,12619,13,,0,0,4.61
12905816,16:09:18,16:09:18,58,14,,0,0,4.771
12905816,16:10:25,16:10:25,60,15,,0,0,5.0638
12905816,16:11:06,16:11:06,61,16,,0,0,5.2448
12905816,16:12:12,16:12:12,63,17,,0,0,5.534
12905816,16:12:54,16:12:54,64,18,,0,0,5.7171
12905816,16:14:42,16:14:42,12040,19,,0,0,6.1851
12905816,15:52:16,15:52:16,378,2,,0,0,0.33
12905816,16:16:00,16:16:00,10542,20,,0,0,6.5242
12905816,16:17:21,16:17:21,69,21,,0,0,6.8763
12905816,16:18:00,16:18:00,70,22,,0,0,7.0484
12905816,16:19:22,16:19:22,72,23,,0,0,7.4065
12905816,16:24:17,16:24:17,73,24,,0,0,8.6831
12905816,16:25:17,16:25:17,75,25,,0,0,8.9441
12905816,16:26:24,16:26:24,11881,26,,0,0,9.2361
12905816,16:27:21,16:27:21,12603,27,,0,0,9.4858
12905816,16:28:05,16:28:05,30,28,,0,0,9.6796
12905816,16:29:00,16:29:00,31,29,,0,0,9.8494
12905816,15:53:13,15:53:13,379,3,,0,0,0.578
12905816,16:34:00,16:34:00,9069,30,,1,0,10.8227
